Median House  Prices 4TH quarter 2021,,,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,No of sales ,No of sales ,No of sales ,No of Sales ,Oct - Dec 20,Jul-Aug 21
,,,,,,Apr - Jun 2021,Jul- Sep 2021,Oct - Dec 2021,YTD,Oct - Dec 21,Oct - Dec 21
,,,,,,,,,,,
CANTERBURY,3250000,2975000,3890000,3494000,3390000,35,10,29,135,4.3,-3
CAPE PATERSON,620000,668000,746100,815000,1110000,12,11,10,61,79,36.2
CAPE SCHANCK,1185000,1330000,1850000,1181000,1380000,3,3,5,24,16.5,16.9
CAPEL SOUND,588000,687500,765000,808300,875000,28,24,35,160,48.8,8.3
CARISBROOK,444500,289000,367000,361000,370000,7,7,3,24,-16.8,2.5
CARLTON,1490000,1367500,1670000,1280000,1705000,8,7,27,59,14.4,33.2
CARLTON NORTH,1455000,1605000,1696500,1830000,1655000,26,18,46,141,13.7,-9.6
CARNEGIE,1612500,1670000,1800000,1920100,1821000,25,15,45,144,12.9,-5.2
CAROLINE SPRINGS,628000,670000,720000,730800,750000,83,70,103,413,19.4,2.6
CARRUM,795000,937500,952500,1001000,1062500,13,6,14,59,33.6,6.1
CARRUM DOWNS,587000,649000,668300,676500,737500,100,76,64,437,25.6,9
CASTERTON,192000,183500,187000,195000,350000,15,12,8,65,82.3,79.5
CASTLEMAINE,585000,658500,655000,620000,739000,37,21,37,188,26.3,19.2
CAULFIELD,1806000,2065500,2124500,2081000,1950000,16,3,14,51,8,-6.3
CAULFIELD NORTH,2335000,2550000,2460000,2412500,2700000,32,16,45,158,15.6,11.9
CAULFIELD SOUTH,1765000,1705000,2101000,1807000,1985000,40,20,40,163,12.5,9.9
CHADSTONE,1095000,1105000,1211000,1251500,1350000,21,18,29,102,23.3,7.9
CHARLEMONT,496500,530000,617500,650000,682500,17,16,19,73,37.5,5
CHARLTON,150000,164000,189000,202500,252500,8,10,6,46,68.3,24.7
CHELSEA,983800,1117000,1311000,1122500,1240000,25,8,23,84,26,10.5
CHELSEA HEIGHTS,820000,945000,950000,1002000,995000,15,13,32,99,21.3,-0.7
CHELTENHAM,1201000,1215000,1321000,1360000,1387500,47,30,66,245,15.5,2
CHELTENHAM EAST,1040000,1070000,1110000,1325000,1195500,14,15,22,84,15,-9.8
CHELTENHAM NORTH,906300,1141500,1165000,840000,1100000,17,17,13,72,21.4,31
CHEWTON,632500,632000,540000,585000,832500,3,2,4,26,31.6,42.3
CHILTERN,353800,290000,410000,400000,325000,5,3,6,24,-8.1,-18.8
CHIRNSIDE PARK,805000,820000,880500,937000,930000,60,39,59,263,15.5,-0.7
CHURCHILL,247500,265000,292500,316500,347000,23,33,32,133,40.2,9.6
CLARINDA,850000,1004500,1020000,990000,1152500,21,10,17,69,35.6,16.4
CLAYTON,1066000,1070000,1220000,1265500,1141300,15,10,16,59,7.1,-9.8
CLAYTON NORTH,1235300,1409400,1320000,1075000,1300000,6,3,8,27,5.2,20.9
CLAYTON SOUTH,906500,851600,990000,981500,1005000,21,10,15,80,10.9,2.4
CLIFTON HILL,1413000,1630000,1750000,1625000,1775500,17,17,32,102,25.7,9.3
CLIFTON SPRINGS,542000,575500,672000,647500,735000,45,54,56,261,35.6,13.5
CLUNES,422500,450000,420000,337500,477500,10,8,5,46,13,41.5
CLYDE,570000,610000,612500,630300,687500,65,66,80,347,20.6,9.1
CLYDE NORTH,627000,652000,670000,688500,717000,168,152,187,842,14.4,4.1
COBBLEBANK,535000,553000,565000,575000,570000,30,24,17,112,6.5,-0.9
COBDEN,265000,300000,346000,380000,350000,10,6,7,34,32.1,-7.9
COBRAM,325000,340000,370000,401000,380000,44,27,45,196,16.9,-5.2
COBURG,1127500,1115000,1220000,1340000,1350000,68,57,113,409,19.7,0.7
COBURG EAST,1012000,1071900,1080000,1192500,1102000,19,17,25,96,8.9,-7.6
COBURG NORTH,920000,960500,965000,1130000,1006000,26,17,32,112,9.3,-11
COCKATOO,612000,655000,720300,731000,786000,20,15,24,109,28.4,7.5
COHUNA,250000,247500,260000,267500,235000,15,20,12,81,-6,-12.1
COLAC,366000,390000,410000,420000,468500,43,45,51,251,28,11.5
COLDSTREAM,640000,670000,765000,740000,853800,7,5,10,41,33.4,15.4
COLERAINE,154500,149400,160000,210000,195000,5,5,5,28,26.2,-7.1
COLLINGWOOD,1155000,1228000,1225000,1231000,1263000,13,12,21,67,9.4,2.6
CONNEWARRE,1680000,1565000,1662500,1710000,2057500,8,3,2,24,22.5,20.3
COOLAROO,473800,470000,510000,500000,515000,16,5,15,59,8.7,3
COONANS HILL,1185000,1250000,1190000,1112500,1287000,12,8,9,55,8.6,15.7
COONGULLA,265000,280000,210000,280000,473300,1,3,2,15,NA,69
CORINELLA,542500,590000,602300,690000,743000,17,9,10,61,37,7.7
CORIO,395000,420000,430000,470000,510000,74,82,92,408,29.1,8.5
CORONET BAY,465000,438500,525000,545000,520000,13,10,19,63,11.8,-4.6
CORRYONG,230000,165000,261000,240000,300000,14,5,9,48,30.4,25
COWES,618000,699500,695000,995000,960000,13,11,22,81,55.3,-3.5
COWES WEST,579500,640000,670000,735000,835000,49,31,47,268,44.1,13.6
CRAIGIEBURN,570000,590000,620000,622500,650000,355,289,327,"1,668",14,4.4
CRANBOURNE,518000,585000,605000,610000,655000,97,109,113,543,26.4,7.4
CRANBOURNE EAST,607800,640000,637800,663000,704000,109,96,98,518,15.8,6.2
CRANBOURNE NORTH,590000,634800,630000,680000,683600,132,91,102,532,15.9,0.5
CRANBOURNE SOUTH,622500,642500,710000,665000,780000,5,7,9,33,25.3,17.3
CRANBOURNE WEST,550000,585000,609000,628400,665000,117,92,119,542,20.9,5.8
CREMORNE,1530000,1889000,1600000,1397500,1398700,21,12,12,64,-8.6,0.1
CRESWICK,400000,431800,505000,470000,520000,17,13,21,85,30,10.6
CRIB POINT,605000,700000,795000,745000,857500,18,18,19,84,41.7,15.1
CROYDON,847500,860900,900000,940000,1022500,84,78,112,451,20.7,8.8
CROYDON HILLS,892800,1000000,1090500,1180000,1165000,26,16,30,109,30.5,-1.3
CROYDON NORTH,850000,975000,990000,1070000,1162500,25,21,40,143,36.8,8.6
CROYDON SOUTH,749500,862800,915000,870000,965000,23,9,34,107,28.8,10.9
CURLEWIS,590000,577500,640000,710000,700000,37,30,23,149,18.6,-1.4
DALLAS,486300,527500,490000,545000,542700,34,19,34,123,11.6,-0.4
DALYSTON,452500,485000,540000,645000,619500,13,7,10,53,36.9,-4
DANDENONG,632500,690000,700000,674500,721000,53,46,59,258,14,6.9
DANDENONG NORTH,638800,705000,720000,725000,755000,73,53,97,368,18.2,4.1
DARLEY,555000,570000,625000,646500,660000,57,30,48,231,18.9,2.1
DAYLESFORD,865000,790000,850000,787500,900000,29,16,27,130,4,14.3
DEANSIDE,651000,790500,474000,590000,620000,12,20,21,61,-4.8,5.1
DEEPDENE,2685000,3480000,3042500,4194000,2731500,8,4,8,32,1.7,-34.9
DEER PARK,592000,620000,623000,617500,650000,75,56,83,329,9.8,5.3
DELACOMBE,413300,477500,475000,560000,585000,27,21,34,154,41.5,4.5
DELAHEY,573500,598000,672000,622500,676000,21,22,36,125,17.9,8.6
DENNINGTON,383500,440000,494500,543000,555000,20,10,15,72,44.7,2.2
Derrimut,695500,735000,708500,706500,747500,24,16,26,110,7.5,5.8
DERRINALLUM,340000,317000,275000,261000,280000,2,5,1,13,-17.6,7.3
DIAMOND CREEK,896000,915000,1023000,997500,1053500,35,30,60,205,17.6,5.6
DIGGERS REST,565000,530000,605000,615000,650000,19,21,27,126,15,5.7
DIMBOOLA,169500,195000,205000,196500,196500,11,10,10,43,15.9,0
DINGLEY VILLAGE,960000,980000,1057300,1067500,1123000,36,18,42,157,17,5.2
DINNER PLAIN,600000,630000,705000,855000,950000,9,3,7,34,58.3,11.1
DONALD,188800,140000,211000,189000,152000,10,12,10,52,-19.5,-19.6
DONCASTER,1302000,1386000,1460000,1480000,1538000,91,57,102,373,18.1,3.9
DONCASTER EAST,1276500,1435000,1489000,1500000,1560800,107,89,104,455,22.3,4.1
DONNYBROOK,592000,600000,591000,625000,635000,24,32,16,101,7.3,1.6
DONVALE,1230000,1219000,1320000,1430000,1410000,41,19,37,152,14.6,-1.4
DOREEN,660000,676500,700000,705600,740500,156,102,182,702,12.2,4.9
DOVETON,521000,541000,585000,595000,615000,77,46,65,287,18,3.4
DROMANA,798300,881000,975000,925000,1165500,39,23,50,206,46,26
DROUIN,505000,538500,562500,580000,613300,86,82,94,442,21.4,5.7
DRYSDALE,627500,647000,690000,760000,825000,23,13,28,117,31.5,8.6
DUNKELD,295000,295000,522500,444000,595300,4,1,8,14,101.8,34.1
DUNOLLY,198500,270000,244000,265000,260000,6,1,5,25,31,-1.9
EAGLE POINT,385000,404500,450000,397500,419000,8,8,9,48,8.8,5.4
EAGLEHAWK,367500,394000,438000,474000,470000,38,26,40,181,27.9,-0.8
EAGLEMONT,2540000,2175000,2677000,2365000,2821900,10,8,18,64,11.1,19.3
EAST BAIRNSDALE,307000,315000,310000,419000,390000,8,9,5,34,27,-6.9
EAST BENDIGO,377500,341000,590000,517500,430000,11,10,3,51,13.9,-16.9
EAST GEELONG,800000,740000,836000,991000,945000,16,16,25,91,18.1,-4.6
EAST MELBOURNE,3087500,3725000,4950000,1792500,2900000,3,2,5,24,-6.1,61.8
EAST WARBURTON,402500,606500,597500,612500,714000,2,2,10,21,77.4,16.6
EASTWOOD,460000,467500,475000,594000,610000,21,16,21,87,32.6,2.7
ECHUCA,435800,460000,441000,415000,576000,86,53,77,376,32.2,38.8
EDENHOPE,139000,206300,223400,200500,232500,7,8,8,45,67.3,16
EDITHVALE,1100000,1270000,1211000,1205000,1200000,15,15,15,86,9.1,-0.4
EILDON,285000,390000,325000,335000,395000,15,11,9,52,38.6,17.9
ELLIMINYT,481500,485000,584500,515000,490000,10,6,17,50,1.8,-4.9
ELMORE,223500,322500,337000,360000,312500,2,6,10,24,39.8,-13.2
ELSTERNWICK,2022500,2150000,2107500,1755000,2412500,28,15,26,116,19.3,37.5
ELTHAM,1078000,1100200,1165000,1282600,1300000,45,42,91,293,20.6,1.4
ELTHAM NORTH,1070000,1134000,1160000,1425000,1350000,23,27,26,129,26.2,-5.3
ELWOOD,2175000,2100000,2055000,2400000,2267500,40,25,52,190,4.3,-5.5
EMERALD,770000,822500,845000,922000,911500,21,21,18,111,18.4,-1.1
ENDEAVOUR HILLS,690000,730000,735000,730500,830000,97,47,81,388,20.3,13.6
EPPING,577300,600000,640000,650000,700000,120,77,142,554,21.3,7.7
EPSOM,460000,470000,516000,562500,580000,30,22,21,129,26.1,3.1
ESKDALE,350000,350000,299000,299000,325000,5,0,1,7,-7.1,NA
ESSENDON,1657500,1608000,1750000,1870000,1750000,69,46,82,320,5.6,-6.4
ESSENDON NORTH,1254000,1190000,1400000,1617500,1275000,12,4,10,43,1.7,-21.2
ESSENDON WEST,1260000,1245000,1270000,1307500,1475000,15,4,7,36,17.1,12.8
EUMEMMERRING,680200,666300,675000,646000,605000,3,9,7,30,-11.1,-6.3
EUREKA,561000,379000,491000,449000,420000,5,6,4,27,-25.1,-6.5
EUROA,330000,390000,372000,379000,517500,17,23,20,92,56.8,36.5
EYNESBURY,625000,612500,715000,662500,685000,16,23,19,97,9.6,3.4
FAIRFIELD,1413000,1577500,1542000,1905500,2001000,13,10,20,77,41.6,5
FAIRHAVEN,1525000,1910000,1685500,1805000,2662500,10,3,8,34,74.6,47.5
FAWKNER,720000,787500,820000,830000,840000,40,25,46,192,16.7,1.2
FERNTREE GULLY,760000,820000,830800,882000,930000,96,71,123,471,22.4,5.4
FERNY CREEK,1052500,1200000,847000,931000,1180000,5,6,11,37,12.1,26.7
FINGAL,1305000,1530000,1837500,1885000,1887500,8,5,6,39,44.6,0.1
FITZROY,1425000,1420000,1400000,1438000,1545000,31,20,40,146,8.4,7.4
FITZROY NORTH,1565000,1805000,1740000,1720000,1665000,31,21,60,186,6.4,-3.2
FIVEWAYS,535000,635000,1057500,738300,906000,2,4,4,19,NA,22.7
FLEMINGTON,1215000,1050000,1225000,1332500,1251000,20,18,20,103,3,-6.1
FLINDERS,2052500,2062500,3460000,2700000,2635000,6,5,9,34,28.4,-2.4
FLORA HILL,422500,415000,460000,505000,552600,14,22,32,119,30.8,9.4
FLOWERDALE,412500,355000,435000,500000,600000,5,1,3,16,45.5,20
FOOTSCRAY,920500,853500,950000,985500,1107500,49,24,58,225,20.3,12.4
FOREST HILL,980500,1068500,1180100,1230000,1336500,41,29,48,184,36.3,8.7
FOSTER,391800,407000,456000,452500,500000,6,6,7,45,27.6,10.5
FRANKSTON,640000,680000,746800,769000,795000,174,152,211,909,24.2,3.4
FRANKSTON NORTH,468500,530000,575000,599500,610000,45,46,33,188,30.2,1.8
FRANKSTON SOUTH,898800,995000,1082500,1245000,1236000,98,79,101,495,37.5,-0.7
FRASER RISE,630000,642000,705000,668800,700000,59,32,45,208,11.1,4.7
FYANSFORD,795000,770000,845000,832500,862500,8,8,6,29,8.5,3.6
GARDEN CITY,1925000,2610000,2095000,1700000,2038800,4,1,8,21,5.9,19.9
GARFIELD,580000,659000,690000,657500,805000,7,8,14,46,38.8,22.4
GEELONG,746300,832500,950000,1014500,950000,31,19,16,110,27.3,-6.4
GEELONG WEST,765000,815000,825500,895000,980000,50,35,39,203,28.1,9.5
GEMBROOK,730000,705000,922500,700000,863500,4,4,10,29,18.3,23.4
GISBORNE,860000,867500,967000,900000,968500,27,24,36,188,12.6,7.6
GLADSTONE PARK,650000,701000,720000,730000,750000,48,24,46,177,15.4,2.7
GLEN HUNTLY,1533000,1308000,2100000,2002500,1805000,3,4,2,18,17.7,-9.9
GLEN IRIS,2200000,2290000,2637500,2125000,2537500,73,41,124,394,15.3,19.4
GLEN WAVERLEY,1329500,1425000,1600000,1605000,1600000,139,92,154,634,20.3,-0.3
GLENGARRY,404000,453500,430000,529000,492000,3,3,5,13,NA,-7
GLENROWAN,390300,240000,240000,590300,465000,0,4,4,15,19.2,-21.2
GLENROY,777500,822500,825000,850000,877500,63,56,66,297,12.9,3.2
GOLDEN BEACH,270000,310000,311300,375000,345000,6,6,4,44,27.8,-8
GOLDEN POINT (BALLARAT),450000,434500,563000,467500,546000,14,16,25,89,21.3,16.8
GOLDEN SQUARE,408000,457000,440000,490000,524000,70,43,57,277,28.4,6.9
GORDON,585000,707500,519300,755000,788000,6,3,5,21,34.7,4.4
GOUGHS BAY,387500,480000,589000,499300,595000,4,4,7,28,53.5,19.2
GOWANBRAE,691000,885000,998800,936000,1025500,6,7,6,33,48.4,9.6
GRANTVILLE,470000,502500,547500,495000,585000,8,11,7,45,24.5,18.2
GREEN LAKE,335000,354000,350000,360000,460000,3,3,5,26,37.3,27.8
GREENSBOROUGH,865000,907000,975500,1072000,1060000,90,50,111,393,22.5,-1.1
GREENVALE,722000,770000,810000,850000,846300,83,83,106,410,17.2,-0.4
GROVEDALE,570800,610000,620000,681500,695000,69,47,81,316,21.8,2
HADFIELD,780000,820000,900000,890000,905000,35,20,20,136,16,1.7
HALLAM,612500,665000,713500,695000,706500,42,22,32,146,15.3,1.7
HALLS GAP,421300,358500,455000,375000,510000,2,5,5,16,21.1,36
HAMILTON,289000,318500,320000,347500,372000,81,56,78,372,28.7,7.1
HAMLYN HEIGHTS,600000,675600,698000,686000,760000,46,23,43,190,26.7,10.8
HAMPTON,2175000,2300000,2180000,2615000,2556500,50,38,60,254,17.5,-2.2
HAMPTON EAST,1310000,1418000,1600000,1482500,1550000,21,12,23,105,18.3,4.6
HAMPTON PARK,550000,595000,595000,627500,658000,103,73,112,481,19.6,4.9
HARCOURT,570000,490000,637500,644000,687500,6,4,4,18,NA,6.8
HARKNESS,509000,521000,520000,545000,570000,67,69,77,337,12,4.6
HASTINGS,567500,590000,640000,650000,723100,45,37,36,196,27.4,11.3
HASTINGS WEST,465000,480000,572500,560000,647000,10,3,13,47,39.1,15.5
HAWTHORN,2005000,3455000,2545000,2650000,2971000,54,25,77,246,48.2,12.1
HAWTHORN EAST,2263500,2050000,2860000,2107500,2210000,43,26,50,208,-2.4,4.9
HEALESVILLE,635200,690000,757500,835000,750000,22,19,29,119,18.1,-10.2
