Median House  Prices 4TH quarter 2021,,,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,No of sales ,No of sales ,No of sales ,No of Sales ,Oct - Dec 20,Jul-Aug 21
,,,,,,Apr - Jun 2021,Jul- Sep 2021,Oct - Dec 2021,YTD,Oct - Dec 21,Oct - Dec 21
,,,,,,,,,,,
ST ANDREWS BEACH,1275000,1350000,1735000,1806500,1937500,12,6,8,44,52,7.3
ST ARNAUD,185000,240000,180000,225000,227500,13,13,12,70,23,1.1
ST HELENA,900000,1097500,959300,1202500,1270000,10,4,9,42,41.1,5.6
ST KILDA,1376000,1400300,1615000,1720000,1695000,25,15,26,117,23.2,-1.5
ST KILDA EAST,1670000,1845000,2050000,1710000,1730000,16,5,27,82,3.6,1.2
ST KILDA WEST,3420000,1825000,2750000,2750000,4620000,8,0,5,28,35.1,NA
ST LEONARDS,610000,651000,680000,713500,777300,46,36,50,227,27.4,8.9
STANHOPE,195000,254500,222500,290000,227500,4,2,2,15,16.7,-21.6
STAWELL,259000,264000,245000,299000,339500,29,33,38,167,31.1,13.5
STRATFORD,330000,339000,359000,382500,425000,11,12,14,57,28.8,11.1
STRATHDALE,545000,619000,603000,642500,690000,37,18,39,154,26.6,7.4
STRATHFIELDSAYE,532500,571300,695000,620000,710000,27,24,32,161,33.3,14.5
STRATHMORE,1393800,1411000,1667500,1595000,1600000,48,28,42,198,14.8,0.3
STRATHMORE HEIGHTS,825000,1210000,1012500,850000,915000,6,3,4,17,10.9,7.6
STRATHTULLOH,570000,595000,581000,539000,630000,19,12,21,75,10.5,16.9
STUDFIELD,836000,1051000,1000000,1034000,1145000,13,4,12,53,37,10.7
SUNBURY,600000,630000,657500,620000,672000,180,132,205,886,12,8.4
SUNDERLAND BAY,795000,610000,679500,801000,741000,4,3,4,24,-6.8,-7.5
SUNNYCLIFFS,187000,330000,317000,369000,240000,5,4,3,19,28.3,-35
SUNSET STRIP,540000,535000,590000,694000,610000,6,8,1,32,13,-12.1
SUNSHINE,750000,843000,848000,870000,917500,36,19,52,164,22.3,5.5
SUNSHINE NORTH,702600,711200,720000,748000,770000,57,14,38,191,9.6,2.9
SUNSHINE WEST,690000,675000,765500,720000,760000,52,27,71,236,10.1,5.6
SURF BEACH,610000,690000,676000,615000,1062000,4,6,7,39,74.1,72.7
SURREY HILLS,1930000,2152500,2150000,2320000,2525000,55,28,49,211,30.8,8.8
SWAN HILL,362500,339500,345000,375000,359000,47,60,70,271,-1,-4.3
SYDENHAM,649000,592500,720000,720000,735000,11,18,23,93,13.3,2.1
SYNDAL,1441500,1655000,1620000,1813400,1808000,19,16,23,73,25.4,-0.3
TALLANGATTA,307500,311000,373000,447500,374500,11,4,6,35,21.8,-16.3
TALLYGAROOPNA,370000,287000,387500,387500,325000,5,0,1,8,-12.2,NA
TANGAMBALANGA,459000,360000,392500,605000,595000,2,1,2,13,29.6,-1.7
TARNEIT,570000,578500,590000,605000,625000,332,287,358,"1,569",9.6,3.3
TATURA,335000,352500,320000,366000,392500,22,21,14,105,17.2,7.2
TAWONGA,315400,330000,459000,533000,530000,5,2,1,13,68.1,-0.6
TAWONGA SOUTH,432500,517500,538000,527500,600000,11,4,3,34,38.7,13.7
TAYLORS HILL,792500,817000,782800,850000,911000,26,31,35,169,15,7.2
TAYLORS LAKES,795500,850000,862500,908600,937500,48,22,38,167,17.9,3.2
TECOMA,890000,782000,940000,1147500,950000,6,6,14,45,6.7,-17.2
TEMPLESTOWE,1350000,1555000,1565000,1580000,1700000,57,36,65,233,25.9,7.6
TEMPLESTOWE LOWER,1165800,1305000,1440000,1450000,1425000,61,45,69,259,22.2,-1.7
TERANG,235000,307500,305000,289000,331800,10,20,12,71,41.2,14.8
THE BASIN,716800,867500,819000,896000,982500,17,9,19,73,37.1,9.7
THE HONEYSUCKLES,370000,410000,395000,420000,572500,3,1,8,18,54.7,36.3
THE PATCH,776000,740000,927200,950000,915000,4,1,2,17,17.9,-3.7
THOMASTOWN,653000,690500,702500,715500,742000,66,55,75,287,13.6,3.7
THOMSON (GREATER GEELONG),433500,458600,475000,620000,637000,5,9,11,41,46.9,2.7
THORNBURY,1350000,1382500,1590000,1517000,1527500,60,19,65,229,13.1,0.7
THORNHILL PARK,509800,570000,560000,585000,610000,30,23,34,143,19.7,4.3
TIMBOON,472500,420000,390000,430900,425000,6,6,10,31,-10.1,-1.4
TONGALA,372500,217500,295000,380000,315000,11,3,9,34,-15.4,-17.1
TOONGABBIE,382500,350000,507000,369500,537500,4,2,6,18,40.5,45.5
TOORA,310000,323500,410000,467500,460000,8,2,6,24,48.4,-1.6
TOORADIN,790000,676300,735000,1050000,947500,8,3,6,27,19.9,-9.8
TOORAK,5000000,6475000,5575000,7150000,5200000,46,20,39,205,4,-27.3
TOOTGAROOK,745000,765100,783700,965000,940000,34,25,37,177,26.2,-2.6
TORQUAY,940000,1010000,1187500,1220000,1325000,79,69,95,475,41,8.6
TRAFALGAR,430000,415000,450000,515000,545000,23,19,25,109,26.7,5.8
TRARALGON,350000,370000,399500,415000,445800,194,168,190,934,27.4,7.4
TRARALGON EAST,508000,705000,585000,610000,651200,7,5,5,34,28.2,6.7
TRAVANCORE,1550000,1920000,1500000,1790000,1910000,3,5,3,22,23.2,6.7
TRENTHAM,650000,765000,802500,850000,1022000,10,9,11,52,57.2,20.2
TRUGANINA,565000,600000,612500,599900,640000,208,151,217,910,13.3,6.7
TULLAMARINE,640000,717500,750300,740000,780000,26,15,31,112,21.9,5.4
TUNGAMAH,230000,215000,255000,255000,322000,5,0,2,13,40,NA
TYABB,595000,710000,665000,775000,880000,5,7,9,38,47.9,13.5
UPPER FERNTREE GULLY,742500,790000,825500,946300,930000,16,6,23,80,25.3,-1.7
UPWEY,820000,810000,870000,946000,922500,27,22,42,138,12.5,-2.5
VENTNOR,662500,660000,721000,895000,814000,11,5,6,43,22.9,-9.1
VENUS BAY,458300,481000,542500,590000,639500,18,15,30,132,39.6,8.4
VERMONT,975000,1170000,1183500,1250500,1319300,36,28,38,149,35.3,5.5
VERMONT SOUTH,1210000,1319300,1440000,1463900,1453000,39,34,50,210,20.1,-0.7
VIEWBANK,1033500,1190000,1267000,1277500,1266500,31,18,24,115,22.5,-0.9
VIOLET TOWN,395000,290000,341000,400000,380000,6,5,7,25,-3.8,-5
WAHGUNYAH,323000,365000,432500,349800,349800,8,6,0,26,NA,NA
WALKERVILLE,382500,455000,436600,590000,420000,5,3,1,15,9.8,-28.8
WALLAN,532000,560000,560000,570000,600000,62,53,63,274,12.8,5.3
WALLAN EAST,524500,582500,569800,575000,617500,20,19,32,109,17.7,7.4
WANDANA HEIGHTS,844800,1000000,888500,837500,942500,14,10,14,57,11.6,12.5
WANDIN NORTH,740000,750000,711400,775500,810000,8,11,13,58,9.5,4.4
WANGARATTA,383500,390000,425000,427000,458000,127,114,122,578,19.4,7.3
WANTIRNA,920000,1009500,1035000,1077500,1100000,55,22,63,228,19.6,2.1
WANTIRNA SOUTH,1010000,1207500,1157500,1222000,1305500,56,39,64,240,29.3,6.8
WARBURTON,640000,650100,658000,682300,700000,16,10,20,82,9.4,2.6
WARNEET,500000,590000,812500,694900,756000,2,6,6,23,51.2,8.8
WARRACKNABEAL,140000,180000,177500,175000,205000,20,19,13,90,46.4,17.1
WARRAGUL,526000,540000,570000,587500,663000,126,104,129,609,26,12.9
WARRANDYTE,1032000,1185000,1200000,1285000,1350000,15,13,13,75,30.8,5.1
WARRANWOOD,965000,1100000,1052500,1122500,1349500,14,8,20,72,39.8,20.2
WARRNAMBOOL,437000,450000,500000,517500,608000,149,114,160,758,39.1,17.5
WATERWAYS,1674000,1527500,1355000,1403000,1440000,7,10,13,52,-14,2.6
WATSONIA,830000,851500,900000,1100000,1060000,25,18,35,112,27.7,-3.6
WATSONIA NORTH,795000,862500,951300,1000000,1005000,12,9,20,67,26.4,0.5
WATTLE GLEN,788800,885000,962500,1040000,1011000,4,1,6,22,28.2,-2.8
WAURN PONDS,700000,718000,707500,765000,775000,12,13,25,82,10.7,1.3
WEDDERBURN,193000,160000,162500,182500,185000,6,6,7,33,-4.1,1.4
WEIR VIEWS,508000,534500,496000,530500,570000,39,36,53,181,12.2,7.4
WELSHPOOL,345000,412500,412500,345000,422000,0,5,4,12,22.3,22.3
WENDOUREE,397500,419800,446000,478000,482000,58,53,49,248,21.3,0.8
WENDOUREE WEST,300000,345500,392500,362500,397500,10,12,18,59,32.5,9.7
WERRIBEE,520000,539000,560000,575000,605000,240,226,292,"1,229",16.3,5.2
WERRIBEE SOUTH,650000,797500,720000,830000,875000,9,6,9,37,34.6,5.4
WEST FOOTSCRAY,857500,950000,931000,1106300,1115000,37,24,44,179,30,0.8
WEST MELBOURNE,960000,1310000,1310000,1125000,1270000,8,5,8,32,32.3,12.9
WEST WODONGA,375000,412500,420000,419800,441000,79,64,81,349,17.6,5.1
WESTALL,743300,793500,827500,910000,855000,24,15,13,84,15,-6
WESTGARTH,1755500,1700000,2185000,2300000,2270000,17,12,17,73,29.3,-1.3
WESTMEADOWS,620000,695000,770000,723000,713500,23,26,18,113,15.1,-1.3
WHEELERS HILL,1217500,1315000,1350000,1447500,1389000,67,54,81,314,14.1,-4
WHITE HILLS,403000,385500,450000,472500,580000,27,22,27,115,43.9,22.8
WHITTINGTON,395000,436000,518500,537000,560000,12,13,12,61,41.8,4.3
WHITTLESEA,630000,641000,660000,705000,717500,30,14,20,115,13.9,1.8
WILLIAMS LANDING,690000,711500,748000,742000,808500,43,37,49,206,17.2,9
WILLIAMSTOWN,1455000,1563000,1697500,1635500,1645000,60,33,70,282,13.1,0.6
WILLIAMSTOWN NORTH,846000,1275000,1105000,1220000,1220000,7,2,0,15,NA,NA
WIMBLEDON HEIGHTS,481500,505000,657000,592000,671500,5,3,4,29,39.5,13.4
WINCHELSEA,451300,503000,510000,571000,640000,10,12,16,74,41.8,12.1
WINDSOR,1365000,1857500,1412000,1410000,1635000,20,11,38,105,19.8,16
WINTER VALLEY,475000,492000,535000,575000,605500,23,17,30,100,27.5,5.3
WODONGA,350000,400000,448500,415000,495500,142,105,122,607,41.6,19.4
WOLLERT,585000,587800,635000,630000,683500,169,118,188,879,16.8,8.5
WONGA PARK,1176000,1359500,1300000,1251000,1090000,7,8,10,34,-7.3,-12.9
WONTHAGGI,423000,485000,480000,584000,617500,35,31,34,180,46,5.7
WOODEND,857700,792500,845000,970000,940000,17,13,31,121,9.6,-3.1
WOOLAMAI WATERS,628500,682600,780000,701000,860000,28,13,25,116,36.8,22.7
WOORI YALLOCK,600000,600000,625000,700000,670000,13,9,19,70,11.7,-4.3
WURRUK,293000,270000,537500,380000,295000,2,2,3,14,0.7,-22.4
WY YUNG,365000,494500,415000,390000,477000,6,3,13,36,30.7,22.3
WYCHEPROOF,150800,205000,131000,167500,207500,5,6,2,19,37.6,23.9
WYNDHAM VALE,499000,512500,520000,533000,562000,93,117,167,584,12.6,5.4
YACKANDANDAH,490000,712500,730000,490000,654500,3,4,6,22,33.6,33.6
YALLAMBIE,823500,937000,1056000,1130000,985500,9,9,20,61,19.7,-12.8
YALLOURN NORTH,247500,224000,228800,285000,325000,6,9,14,44,31.3,14
YARRA GLEN,737500,745000,796000,862800,912300,10,8,18,69,23.7,5.7
YARRA JUNCTION,629000,601300,665000,650000,747500,9,13,18,58,18.8,15
YARRAGON,468000,470000,577500,556500,658500,6,8,8,42,40.7,18.3
YARRAM,300000,343000,340000,352500,420000,17,18,10,81,40,19.1
YARRAVILLE,1062500,1151500,1100000,1200000,1285000,59,52,101,353,20.9,7.1
YARRAWONGA,476300,540000,529000,597500,586000,65,36,57,273,23,-1.9
YEA,496900,580000,540000,560000,617500,14,8,8,45,24.3,10.3
YINNAR,270000,470000,525000,300000,364000,5,3,6,24,34.8,21.3
"^ means there are less than 10 sales for the quarter* means there were no sales for the quarter and the first non-zero figure is carried forwardNA means insufficent data was available to create the percentage change ",,,,,,,,,,,
